,class_subclass,sic
631,725086000,43.0
633,525437000,8.0
634,525437000,16.0
635,709227000,27.0
636,351246000,55.0
637,363021040,35.0
638,363021040,36.0
640,359484000,55.0
641,536024100,7.0
642,709238000,27.0
643,709249000,27.0
644,715501100,27.0
645,101327000,29.0
646,556136000,7.0
647,800295000,56.0
648,424405000,9.0
649,424405000,14.0
650,725055000,43.0
651,706045000,27.0
652,166212000,25.0
653,241166000,24.0
654,241166000,25.0
655,241166000,30.0
656,241166000,32.0
657,536023400,7.0
658,438612000,43.0
659,604386000,55.0
660,604386000,56.0
662,705014000,27.0
663,342035000,43.0
664,417207000,30.0
665,416232000,16.0
666,416232000,19.0
667,416232000,20.0
668,416232000,21.0
669,709219000,27.0
670,425397000,29.0
672,273353000,56.0
673,435287100,55.0
674,424465000,9.0
675,424465000,14.0
676,250426000,55.0
677,414542000,46.0
678,370392000,43.0
679,401195000,56.0
680,530351000,7.0
681,526072000,8.0
682,424473000,9.0
683,424473000,14.0
684,435029000,14.0
685,435029000,55.0
686,800010000,14.0
687,800010000,56.0
688,405210000,25.0
689,405210000,56.0
690,514230800,9.0
691,514230800,14.0
692,277602000,17.0
693,407054000,29.0
694,424130100,14.0
695,424422000,9.0
696,424422000,14.0
697,385037000,43.0
698,264512000,16.0
699,711200000,27.0
700,370352000,43.0
701,345173000,27.0
702,345173000,43.0
703,546268100,7.0
704,530317000,7.0
705,514357000,9.0
706,514357000,14.0
707,436017000,55.0
708,254217000,21.0
709,254217000,25.0
710,382107000,27.0
711,277358000,17.0
712,119014080,24.0
713,345419000,27.0
714,428412000,16.0
716,428458000,16.0
717,428458000,21.0
718,726034000,27.0
719,536018700,7.0
720,327543000,43.0
721,800300000,56.0
722,267293000,16.0
723,267293000,46.0
724,102285000,53.0
725,244003290,47.0
726,166369000,15.0
727,257723000,43.0
728,381071700,43.0
729,707101000,27.0
731,435139000,7.0
732,428473500,16.0
733,219121720,43.0
734,424243100,14.0
735,514460000,9.0
736,514460000,14.0
737,514218000,9.0
738,514218000,14.0
739,548146000,7.0
740,359325000,43.0
741,455452100,43.0
742,800290000,56.0
744,366003000,25.0
745,415058500,23.0
746,415058500,30.0
747,427202000,56.0
748,514023000,9.0
749,514023000,14.0
750,424085100,14.0
751,452035000,29.0
752,141011000,25.0
753,141011000,29.0
754,141011000,30.0
756,514140000,9.0
757,514140000,14.0
758,375299000,43.0
760,524087000,12.0
761,524087000,16.0
762,536124000,7.0
763,435091200,14.0
764,424600000,9.0
765,424600000,14.0
766,228112100,26.0
